LY86_Treated_Sample1 LY86_Treated_Sample2 LY86_Treated_Sample3 LY86_Treated_Sample4 LY86_Treated_SampleComb
ABHD1 0.403466888 0.452255557 0.278226157 0.447563862 0.395378116
ABHD10 -0.023974216 0.04534817 0.105693109 -0.056057961 0.017752276
ABHD11 0.090075624 -0.146909477 0.1632277 -0.096090594 0.002575813
ABHD12 0.199783917 0.472365277 0.084066098 0.05763269 0.203461996
ABHD12B 0.558854384 -0.130401427 -0.130401427 -0.130401427 0.041912525
ABHD13 0.010077376 0.036164657 0.024085879 0.095765723 0.041523408
ABHD14A -0.156341156 -0.121956594 0.024841259 -0.37022154 -0.155919508
ABHD14B 0.195090076 0.173851932 -0.206138621 0.179752533 0.08563898
ABHD15 0.029518117 -0.267884523 -0.63152287 -0.146096043 -0.25399633
ABHD16A 0.390080548 0.727208212 -0.406814346 -0.121047751 0.147356666
ABHD17A 0.116310453 0.086352695 -0.195556856 -0.171414335 -0.041077011
ABHD17B -0.061072755 0.056168396 -0.091079699 -0.008906024 -0.026222521
ABHD17C -0.093200989 0.010179303 0.111236122 0.050264369 0.019619701
ABHD18 0.094729639 -0.222186834 0.079950895 0.095016273 0.011877493
ABHD2 0.274027037 0.256651675 -0.533729047 0.054326997 0.012819165
ABHD3 0.658141521 0.964426147 0.137842547 0.26735328 0.506940874
ABHD4 0.11700621 0.097755862 -0.146929234 -0.067847534 -3.674e-06
ABHD5 -0.061044994 0.056558854 -0.342366641 -0.166293281 -0.128286516
ABHD6 -0.02738863 0.321658926 -0.199326985 -0.002038261 0.023226262
ABHD8 -0.222653324 -0.16473884 -0.440855297 -0.581812607 -0.352515017
ABI1 0.149159148 0.093410963 -0.078913148 0.241721464 0.101344607
ABI2 -0.15569913 -0.069721976 -0.093857964 0.064459434 -0.063704909
ABI3 0.357581808 0.604820715 0.470095613 0.765834184 0.54958308
ABI3BP 1.196286017 0.12248396 0.355935254 1.341493742 0.754049743
ABITRAM 0.044648525 0.01055403 -0.565330809 0.057901709 -0.113056636
ABL1 -0.114860977 -0.01758559 -0.625227477 -0.339513685 -0.274296932
ABL2 -0.128785221 -0.256478337 -0.803831376 -0.426403338 -0.403874568
ABLIM1 0.36559505 0.357350021 -0.198658942 0.502704362 0.256747623
ABLIM2 0.386730188 -0.225894683 -0.668677173 -0.711321511 -0.304790795
ABLIM3 0.15189709 -0.238904467 -0.171265751 0.453522731 0.048812401
ABR 0.195480591 0.217562862 -0.427190493 0.131976006 0.029457242
